ID PIP,ID MS,TIP_SWAP,Fecha de Inicio,Fecha de Vencimiento,Nominal Recibe,Tasa de Referencia Recibe,Tasa Fija Recibe,Spread Recibe,Nominal Entrega,Tasa de Referencia Entrega,Tasa Fija Entrega,Spread Entrega,Pata Larga,Pata Corta,Valuación
MSCB0000233,1s22z,1MXPTIE,07/05/2012,01/11/2019,20000000,T028,0,0,20000000,T028,8.18,0,4354074.954,6848551.19,-2494476.236
MSCB0000234,1s230,1MXPTIE,07/05/2012,15/10/2019,20000000,T028,0,0,20000000,T028,8.4,0,4336809.639,7050057.311,-2713247.672
MSCB0000235,1s232,1MXPTIE,07/05/2012,11/09/2019,85000000,T028,0,0,85000000,T028,6.25,0,18067025.46,21988198.08,-3921172.624
MSCB0000238,1s237,1MXPTIE,07/05/2012,22/09/2020,42000000,T028,0,0,42000000,T028,6.565,0,11106739.74,13510837.66,-2404097.92
MSCB0000239,1s23a,1MXPTIE,07/05/2012,12/11/2024,20000000,T028,0,0,20000000,T028,8.45,0,9063010.287,12798228.29,-3735218.007
MSCB0000258,1s2hh,1MXPTIE,09/05/2012,24/08/2018,211000000,T028,0,0,211000000,T028,8.83,0,32984083.11,60486348.23,-27502265.12
MSCB0000259,1s2hk,1MXPTIE,09/05/2012,04/04/2018,370000000,T028,0,0,370000000,T028,8.06,0,50381781.59,86942344.46,-36560562.86
MSCB0000260,1s2jh,1MXPTIE,09/05/2012,30/07/2024,103000000,T028,0,0,103000000,T028,8.65,0,45398059.1,65862121.58,-20464062.48
MSCB0000262,1s2np,1MXPTIE,09/05/2012,19/11/2031,225000000,T028,0,0,225000000,T028,7.9,0,152981116.9,189135647.1,-36154530.12
MSCB0000263,1s2nt,1MXPTIE,09/05/2012,22/09/2020,371000000,T028,0,0,371000000,T028,6.565,0,98109534.35,119345732.6,-21236198.3
MSCB0000264,1s2ny,1MXPTIE,09/05/2012,01/11/2018,500000000,T028,0,0,500000000,T028,5.865,0,82600098.46,98855994.56,-16255896.11
MSCB0000267,1s2sx,1MXPTIE,09/05/2012,23/02/2021,580000000,T028,0,0,580000000,T028,8.023,0,165034767.3,240622034.9,-75587267.55
MSCB0000270,1s2t0,1MXPTIE,09/05/2012,11/09/2019,1030000000,T028,0,0,1030000000,T028,6.25,0,218929837.9,266445223.8,-47515385.92
MSCB0000271,1s2t2,1MXPTIE,09/05/2012,01/11/2019,198000000,T028,0,0,198000000,T028,8.18,0,43105342.04,67800656.78,-24695314.74
MSCB0000272,1s2t4,1MXPTIE,09/05/2012,12/05/2027,235780000,T028,0,0,235780000,T028,7.531,0,128871393.8,157548394.5,-28677000.71
MSCB0000273,1s2t7,1MXPTIE,09/05/2012,28/02/2020,197000000,T028,0,0,197000000,T028,8.02,0,46607112.33,71093335.15,-24486222.82
MSCB0000274,1s2t9,1MXPTIE,09/05/2012,15/10/2019,198000000,T028,0,0,198000000,T028,8.4,0,42934415.42,69795567.38,-26861151.95
MSCB0000292,1s356,1MXPTIE,11/05/2012,26/01/2022,400000000,T028,0,0,400000000,T028,6.45,0,133464908.8,152014148.5,-18549239.74
MSCB0000294,1s35c,1MXPTIE,11/05/2012,15/10/2019,83500000,T028,0,0,83500000,T028,8.4,0,18106180.24,29433989.27,-11327809.03
MSCB0000295,1s35e,1MXPTIE,11/05/2012,11/09/2019,385000000,T028,0,0,385000000,T028,6.25,0,81832997.65,99593603.07,-17760605.42
MSCB0000296,1s35g,1MXPTIE,11/05/2012,12/05/2027,125029000,T028,0,0,125029000,T028,7.531,0,68337693.99,83544483.04,-15206789.05
MSCB0000297,1s35k,1MXPTIE,11/05/2012,23/11/2016,506368000,T028,0,0,506368000,T028,5.516,0,34354341.89,46245817.48,-11891475.59
MSCB0000298,1s35p,1MXPTIE,11/05/2012,01/11/2019,83500000,T028,0,0,83500000,T028,8.18,0,18178262.93,28592701.22,-10414438.29
MSCB0000299,1s35q,1MXPTIE,11/05/2012,28/02/2020,83500000,T028,0,0,83500000,T028,8.02,0,19754791.27,30133469.47,-10378678.2
MSCB0000300,1s35t,1MXPTIE,11/05/2012,23/02/2021,460000000,T028,0,0,460000000,T028,8.023,0,130889643.1,190838165.6,-59948522.54
MSCB0000303,1s360,1MXPTIE,11/05/2012,22/09/2020,181000000,T028,0,0,181000000,T028,6.565,0,47864759.34,58225276.57,-10360517.23
MSCB0000304,1s361,1MXPTIE,11/05/2012,18/11/2025,50000000,T028,0,0,50000000,T028,7.54,0,24590870.34,30522832,-5931961.659
MSCB0000305,1s363,1MXPTIE,11/05/2012,12/11/2024,83000000,T028,0,0,83000000,T028,8.45,0,37611492.69,53112647.42,-15501154.73
MSCB0000306,1s36f,1MXPTIE,11/05/2012,14/11/2025,380000000,T028,0,0,380000000,T028,7.66,0,186873011.3,235824233.6,-48951222.39
MSCB0000307,1s36j,1MXPTIE,11/05/2012,18/11/2025,70000000,T028,0,0,70000000,T028,7.54,0,34427218.48,42731964.8,-8304746.322
MSCB0000310,1s372,1MXPTIE,11/05/2012,24/08/2018,76500000,T028,0,0,76500000,T028,8.83,0,11958684.16,21929884.55,-9971200.388
MSCB0000312,1s37u,1MXPTIE,11/05/2012,11/09/2019,770000000,T028,0,0,770000000,T028,6.25,0,163665995.3,199187206.1,-35521210.83
MSCB0000315,1s37z,1MXPTIE,11/05/2012,28/02/2020,164500000,T028,0,0,164500000,T028,8.02,0,38918121.72,59364739.25,-20446617.53
MSCB0000316,1s382,1MXPTIE,11/05/2012,03/07/2025,326000000,T028,0,0,326000000,T028,7.3,0,155641336.7,187848497.4,-32207160.65
MSCB0000318,1s386,1MXPTIE,11/05/2012,01/11/2019,164500000,T028,0,0,164500000,T028,8.18,0,35812266.49,56329333.54,-20517067.04
MSCB0000319,1s388,1MXPTIE,11/05/2012,26/01/2022,25000000,T028,0,0,25000000,T028,6.45,0,8341556.799,9500884.283,-1159327.484
MSCB0000321,1s38a,1MXPTIE,11/05/2012,22/09/2020,352000000,T028,0,0,352000000,T028,6.565,0,93085056.85,113233687,-20148630.19
MSCB0000323,1s38g,1MXPTIE,11/05/2012,15/10/2019,164500000,T028,0,0,164500000,T028,8.4,0,35670259.28,57986721.38,-22316462.1
MSCB0000324,1s38h,1MXPTIE,11/05/2012,12/11/2024,164500000,T028,0,0,164500000,T028,8.45,0,74543259.61,105265427.7,-30722168.11
MSCB0000325,1s38k,1MXPTIE,11/05/2012,18/11/2025,80000000,T028,0,0,80000000,T028,7.54,0,39345392.54,48836531.2,-9491138.654
MSCB0000326,1s38m,1MXPTIE,11/05/2012,12/05/2027,199924000,T028,0,0,199924000,T028,7.531,0,109273409.6,133589385.1,-24315975.45
MSCB0000328,1s392,1MXPTIE,11/05/2012,03/07/2025,46000000,T028,0,0,46000000,T028,7.3,0,21961661.01,26506229.69,-4544568.681
MSCB0000330,1s39b,1MXPTIE,11/05/2012,30/07/2024,77000000,T028,0,0,77000000,T028,8.65,0,33938354.86,49236731.67,-15298376.81
MSCB0000331,1s39j,1MXPTIE,11/05/2012,24/08/2018,153000000,T028,0,0,153000000,T028,8.83,0,23917368.32,43859769.1,-19942400.78
MSCB0000332,1s39y,1MXPTIE,11/05/2012,30/07/2024,38500000,T028,0,0,38500000,T028,8.65,0,16969177.43,24618365.83,-7649188.403
